text,sentiment
I love this movie,positive
This movie is amazing,positive
Excellent film,positive
I really enjoyed this movie,positive
The acting was fantastic,positive
What a wonderful experience,positive
This product is excellent,positive
I am very happy with this,positive
The quality is amazing,positive
Absolutely loved it,positive
Best movie I have watched,positive
The story was interesting,positive
Great performance by the actors,positive
This is a fantastic product,positive
I highly recommend it,positive
The service was excellent,positive
Very satisfied with my purchase,positive
This movie was brilliant,positive
Amazing experience overall,positive
I like this very much,positive
I hate this movie,negative
This movie is terrible,negative
Worst film ever,negative
I did not enjoy this movie,negative
The acting was horrible,negative
What a terrible experience,negative
This product is bad,negative
I am very disappointed,negative
The quality is poor,negative
Absolutely hated it,negative
Worst movie I have watched,negative
The story was boring,negative
Bad performance by the actors,negative
This is a terrible product,negative
I do not recommend it,negative
The service was awful,negative
Very disappointed with my purchase,negative
This movie was boring,negative
Horrible experience overall,negative
I dislike this very much,negative
