CGPA,Aptitude_Score,Technical_Score,Internship,Placement
6.69,76,64,0,0
9.28,83,80,1,1
8.29,93,63,0,1
7.69,76,70,0,0
5.7,48,47,1,0
5.7,74,63,0,0
5.26,81,64,1,0
8.9,67,76,0,1
7.71,83,51,1,1
8.19,89,85,0,1
5.09,59,77,1,0
9.36,87,84,0,1
8.75,73,83,1,1
5.96,80,62,0,0
5.82,57,84,1,0
5.83,76,45,1,0
6.37,51,55,1,0
7.36,95,72,0,1
6.94,66,69,1,0
6.31,72,94,0,0
7.75,46,67,1,0
5.63,86,75,0,0
6.31,89,74,1,1
6.65,50,86,0,0
7.05,72,79,0,0
8.53,72,51,1,1
5.9,88,60,0,0
7.31,88,70,0,0
7.67,64,92,1,1
5.21,74,93,0,0
7.73,55,46,0,0
5.77,72,45,0,0
5.29,69,92,1,1
9.27,83,56,0,1
9.35,77,49,1,1
8.64,45,81,0,0
6.37,71,76,0,0
5.44,57,53,0,0
8.08,85,85,1,1
6.98,47,79,0,0
5.55,83,63,0,0
7.23,50,92,1,1
5.15,52,60,0,0
9.09,71,47,1,1
6.16,53,64,1,0
7.98,81,68,0,1
6.4,77,77,1,1
7.34,95,68,0,1
7.46,86,55,1,1
5.83,88,93,1,1
9.36,68,52,0,0
8.49,59,80,1,1
9.23,76,82,1,1
9.03,76,84,1,1
7.69,68,64,1,1
9.15,85,79,1,1
5.4,93,92,0,1
5.88,93,69,1,1
5.2,56,79,0,0
6.46,83,69,1,1
6.75,46,73,0,0
6.22,47,62,0,0
8.73,93,90,1,1
6.61,81,62,1,1
6.26,93,46,1,0
7.44,61,79,0,0
5.63,93,60,1,0
8.61,46,85,0,0
5.34,46,80,0,0
9.44,72,77,0,1
8.48,67,48,1,1
5.89,81,77,1,1
5.02,76,58,0,0
8.67,77,65,0,1
8.18,45,92,1,1
8.28,63,64,0,0
8.47,46,52,1,0
5.33,88,51,0,0
6.61,70,47,1,0
5.52,76,61,0,0
8.88,50,77,1,1
7.8,76,92,0,1
6.49,48,56,1,0
5.29,55,95,1,0
6.4,61,66,0,0
6.46,82,66,0,0
8.28,68,90,1,1
7.87,49,74,0,0
8.99,78,82,1,1
7.12,50,82,0,0
5.54,66,89,1,0
8.21,55,95,1,1
8.42,92,52,1,1
7.53,60,71,1,1
8.47,77,71,1,1
7.22,53,78,1,0
7.35,50,65,0,0
6.92,60,74,0,0
5.11,73,77,0,0
5.49,47,72,1,0
